# Source: https://github.com/ROCKNIX/abl/releases
# SHA-256 covers size bytes from the start of an ABL partition.
version	soc	size	sha256
1.1.5	SM8250	258048	27e9818ba9ca33fe5bf5b6d069eaf356cd48c42fad231f123972707e0de8b7f6
1.1.5	SM8550	258048	efa890e9000f462ac3f2d74ac2f40a22d82bb7f7645639296977dc638d00876b
1.1.5	SM8650	258048	e5c85f8c13dedbf1609832f3484d509cfdf9af3bdc26aa8416580906271dff56
1.1.5	SM8750	258048	cdaac6993adecce223f8e1d7547eb11d58d30a961de7b5ebd62604f451ad7128
1.1.6	SM8250	258048	d115de9ce9f5092a48e9d91523f2927b58e53b531ac7a583f72115b58573387c
1.1.6	SM8550	258048	edfa5172380a23bbd47890efdd05709b111a6309691fdf941f0cf5fb6d85312a
1.1.6	SM8650	258048	0f024566d7a7dc2c6e95e84f24525919b4b8a4b401c6ec1d825884c5444a53a5
1.1.6	SM8750	258048	179a0f6d9146bec1b026f7bde259527aeaaa1f6d203be2c7b6cd63dfbcaff106
1.1.7	SM8250	258048	a96f2677200b5b427983529c26eb496b738930a4100e7faa8d427b250d208ccb
1.1.7	SM8550	258048	99a40be4bdb438794a6b9005b8bf3aea2f6579a1f86bb19c55ec0316ae8cdc7d
1.1.7	SM8650	258048	3696dc1fe24debf604e87d384aabe0ec8ec9826cd1a69f6480b77d6730689002
1.1.7	SM8750	258048	79e822791bcf088f72ef90601da02bfb8e8b268bf0489965f0213e95de45c311
1.1.8	SM8250	258048	76cee62abbf9115ddbe2f0627703d341d6ef58d3c60a80829d957abae9b06b95
1.1.8	SM8550	258048	5f1018211feaa109563d5890ab52dccfb31db90f4bbe9e6b7fb39e94f860f8d4
1.1.8	SM8650	258048	4ed04dda4da2ac76bc27925ae68094c055a043697f1a1bee4b958b979905bed5
1.1.8	SM8750	258048	bedff34b99bd06202301e78ee5ee025b81d5144c9773de179b5f48ba3b38455a
